left_foot_y,right_foot_y,height,shoulder_width,hip_width,left_knee_angle,right_knee_angle,left_elbow_angle,right_elbow_angle,height_width_ratio,shoulder_to_hip_ratio,frame,person_name,left_foot_speed,right_foot_speed
3308.621063232422,3183.432083129883,2573.3254623413086,174.94139671325684,126.73476219177246,32.94081322746782,9.81343265284463,22.82430404583562,12.967469740157158,14.709642832903628,1.38037420584369,0,devesh,,
3302.3153686523438,3184.9717712402344,2576.3905906677246,166.07736110687256,114.59169387817383,36.77244377198426,10.902596703928888,26.22356777567352,13.099844515579552,15.51319561857555,1.449296676628542,1,devesh,6.305694580078125,1.5396881103515625
3299.472427368164,3185.0269317626953,2572.1291542053223,165.652756690979,113.40980529785156,42.546308819034124,9.776587078874561,27.522148099659915,14.34717872313901,15.527234231323803,1.46065638906548,2,devesh,2.8429412841796875,0.0551605224609375
3298.564682006836,3191.9103240966797,2568.8477897644043,174.19969081878662,116.77767276763916,44.49073123597527,6.498360752420549,27.623409040886152,17.08832175696283,14.746569168349902,1.491720863160239,3,devesh,0.907745361328125,6.883392333984375
3299.6981048583984,3194.1382598876953,2569.185848236084,171.61112308502197,102.87078380584717,42.70369171037426,0.16191941051159672,28.35417478203628,18.53449147752687,14.970975086289844,1.668220234511984,4,devesh,1.1334228515625,2.227935791015625
3305.910186767578,3194.0249633789062,2575.8237075805664,173.82787227630615,98.35707664489746,38.10652056567825,10.46423266230963,28.091488659439396,19.71435848286328,14.818243322257288,1.7673143428599851,5,devesh,6.2120819091796875,0.1132965087890625
3301.944351196289,3194.601058959961,2578.0472373962402,187.36590385437012,99.00119304656982,35.108638600546804,16.15266717347881,27.853250167039196,18.513334788096554,13.759425724543906,1.8925620801987086,6,devesh,3.9658355712890625,0.5760955810546875
3302.0716094970703,3201.4258575439453,2580.5886268615723,189.0223503112793,98.3409833908081,35.6078645152449,17.004431674081037,28.447258646670857,21.49102101057842,13.652293618251472,1.9221116547116728,7,devesh,0.12725830078125,6.824798583984375
3313.831787109375,3217.097625732422,2590.71533203125,188.72559070587158,100.95826148986816,31.268874099355784,14.13438051899086,28.24446469260656,23.54858029050909,13.727419383568783,1.8693427157005023,8,devesh,11.760177612304688,15.671768188476562
3323.086166381836,3216.5755462646484,2599.990825653076,189.16667461395264,79.27253723144531,32.071927671774105,7.113134422255075,29.197650721209282,23.3253488684484,13.744444315887472,2.386282579320739,9,devesh,9.254379272460938,0.5220794677734375
3328.919219970703,3204.880142211914,2593.696117401123,194.92754459381104,59.86626148223877,24.29777750715536,2.6141256208067545,30.88113980055845,23.338572376355497,13.305949771264256,3.256050065054463,10,devesh,5.8330535888671875,11.695404052734375
3328.008041381836,3181.6783905029297,2591.139507293701,195.9567403793335,52.5591516494751,16.804932392040786,1.726806209268145,29.25688859595283,22.056058013412656,13.223018010392332,3.7283086623277053,11,devesh,0.9111785888671875,23.201751708984375
3326.924285888672,3183.8880157470703,2587.561740875244,196.3461971282959,40.1249885559082,11.444043998244979,1.2074034606910846,27.453767914373802,21.053680535627716,13.178568155228838,4.893364563947892,12,devesh,1.0837554931640625,2.209625244140625
3326.4468383789062,3185.8433532714844,2567.9470825195312,195.92056274414062,34.675941467285156,6.992765875691791,0.40295502496619684,25.971382881744006,20.62409801122745,13.107083026670873,5.650043068880506,13,devesh,0.477447509765625,1.9553375244140625
3323.654022216797,3191.1927795410156,2560.4273986816406,198.56011390686035,37.738938331604004,6.395595318434307,0.7934051003016757,24.112849464470035,21.270516779834484,12.894973458177375,5.261412288871377,14,devesh,2.792816162109375,5.34942626953125
3315.788040161133,3196.7715454101562,2547.9225540161133,189.8021650314331,29.344182014465332,8.881663544944228,0.03820259671966899,22.94708421742869,19.932696784544927,13.424096366836238,6.468136168793847,15,devesh,7.8659820556640625,5.578765869140625
3313.9480590820312,3213.8719940185547,2546.543769836426,165.49774646759033,13.629698753356934,10.358771348713596,0.3278664521788958,21.6860774195624,18.041113936402247,15.38718093865477,12.142436121475464,16,devesh,1.8399810791015625,17.100448608398438
3315.8150482177734,3223.520965576172,2549.4773483276367,157.28825569152832,12.622518539428711,9.406927078287804,2.172528655929867,20.25586479047976,15.771654438180144,16.208949213141754,12.460924909732563,17,devesh,1.8669891357421875,9.648971557617188
3323.8833618164062,3244.325180053711,2558.2007217407227,147.83791065216064,12.237825393676758,5.648104873994225,6.22404368696191,18.275215690205414,14.756820785260183,17.30409142320583,12.080406926589097,18,devesh,8.068313598632812,20.804214477539062
3334.888458251953,3259.8568725585938,2587.576103210449,154.20942306518555,13.696646690368652,6.662679957449797,7.494943033755771,14.510038583798831,11.43781840892219,16.779623785484628,11.25891808055647,19,devesh,11.005096435546875,15.531692504882812
3344.472885131836,3265.0584411621094,2611.471996307373,134.95893001556396,4.069919586181641,8.491560639473171,10.83916951986664,13.027189729921153,6.8336830130504875,19.350123745099406,33.16009743135518,20,devesh,9.584426879882812,5.201568603515625
3354.865493774414,3271.7820739746094,2625.05916595459,134.99961376190186,4.073653221130371,7.909789893109853,16.566091234520687,11.783879676487713,4.5220153433025665,19.444938343189584,33.13969217154957,21,devesh,10.392608642578125,6.7236328125
3354.4210052490234,3274.203872680664,2635.3112983703613,135.40567874908447,9.119725227355957,5.529290140792283,19.46490264956779,12.413382200396999,6.405851032647596,19.462339561502176,14.847561233853321,22,devesh,0.444488525390625,2.4217987060546875
3364.1990661621094,3282.759246826172,2646.459560394287,121.6307544708252,12.49621868133545,6.775987272669599,26.2376510358967,12.635931155866555,6.387309987625191,21.7581447382132,9.733404766074942,23,devesh,9.778060913085938,8.555374145507812
